location,0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
Rio Grande,19.7,d_19670601,76.8,65.2,39.1,17.3,3.6,0,3.5,0.6,0,0,0
Rio Grande,27.1,d_19670701,72,53.2,18.8,7.4,2.1,0,1,0,0,0,0
Rio Grande,45.5,d_19670801,40.8,27.9,9.6,4,1.9,0,13.7,7.4,1.8,0.4,0
Rio Grande,54.3,d_19670901,26.7,12,2.2,0.7,0,0,19.1,11.2,4.3,1.8,0.9
Rio Grande,51.1,d_19671001,34,16.3,4.2,1.3,0.2,0,14.8,9.2,2.6,1.1,0.8
Rio Grande,55.3,d_19671101,29.5,13.9,3.2,0.7,0,0,15.2,9.1,2.9,1.7,1.1
Rio Grande,49.8,d_19671201,24.2,10.3,1.8,0.2,0,0,25.9,15.4,7.8,3.3,1.2
Rio Grande,53.9,d_19680101,14.9,5.1,0.6,0,0,0,31.1,17.1,8.3,3.7,1.1
Rio Grande,47.3,d_19680201,4.4,1.8,0,0,0,0,48.4,29.9,11.2,5.6,2
Rio Grande,47,d_19680301,8.3,1.3,0,0,0,0,44.8,26,7.7,3.7,2.9
Rio Grande,51.3,d_19680401,5.6,0.3,0,0,0,0,43.1,23.2,7,4,3.3
Rio Grande,59.7,d_19680501,15.2,7.2,0.5,0,0,0,25.1,11.9,4.4,2.8,1.5
Rio Grande,63.7,d_19680601,29.9,16.8,4.4,1.5,0.4,0,6.4,2.6,0.4,0,0
Rio Grande,36.5,d_19680701,5.1,2.1,0.4,0.1,0,0,58.3,32.4,6.7,1.7,0
Rio Grande,24.9,d_19680801,1.5,0.8,0.2,0,0,0,73.7,51.6,17.5,6.3,1.8
Rio Grande,49.8,d_19680901,10.4,4.5,1.2,0.5,0,0,39.8,17.3,2.6,0.8,0
Rio Grande,65.1,d_19681001,13.9,5.6,1.4,0.8,0.1,0,21,10,1,0.2,0
Rio Grande,57.4,d_19681101,14.6,6.5,1.4,0.8,0,0,27.9,14.6,3.2,0.6,0
Rio Grande,59.4,d_19681201,22.5,11.9,3,1.2,0.2,0,18.1,7.7,0.5,0,0
